,Type,Name,Location,Capacity,Inspections,Phone
137,DAY CARE (FACILITY-BASED PROGRAM),ALPHABEEZ CHILDCARE CENTRE INC.,"SUITE 200, 815 8TH AVE SW  CALGARY, AB  T2P 3P2  ",40,view,  587-349-4449
138,PRE-SCHOOL (FACILITY-BASED PROGRAM),ALPHABEEZ CHILDCARE CENTRE INC.,"SUITE 200, 815 8TH AVE SW  CALGARY, AB  T2P 3P2  ",40,view,  587-349-4449
139,DAY CARE (FACILITY-BASED PROGRAM),ALPHABET DAYCARE,"150 6005 67A STREET  RED DEER, AB  T4P 2Z9  ",106,view,  403-406-6060
140,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALPHABET DAYCARE,"150 6005 67A STREET  RED DEER, AB  T4P 2Z9  ",106,view,  403-406-6060
141,DAY CARE (FACILITY-BASED PROGRAM),ALPINE MONTESSORI CHILDREN'S CENTRE,"3140 - 41 STREET SW  CALGARY, AB  T3E 3L1  ",94,view,  403-249-9474
142,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALPINE MONTESSORI CHILDREN'S CENTRE,"3140 - 41 STREET SW  CALGARY, AB  T3E 3L1  ",94,view,  403-249-9474
143,DAY CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"943/945 MISTATIM LINK NW  EDMONTON, AB  T6V 1H5  ",97,view,  780-266-9256
144,DAY CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"101 14707 77 STREET  EDMONTON, AB  T5C 1E7  ",51,view,  780-473-4440
145,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"101 14707 77 STREET  EDMONTON, AB  T5C 1E7  ",51,view,  780-473-4440
146,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"943/945 MISTATIM LINK NW  EDMONTON, AB  T6V 1H5  ",97,view,  780-266-9256
147,DAY CARE (FACILITY-BASED PROGRAM),ALTADORE DAYCARE,"1820 - 40 AVENUE SW  CALGARY, AB  T2T 5P3  ",55,view,  403-287-1727
148,DAY CARE (FACILITY-BASED PROGRAM),AM PM DAYCARE INCORPORATED,"4003 51 AVENUE  LLOYDMINSTER, AB  T9V 3M9  ",51,view,  780-875-8784
149,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AM PM DAYCARE INCORPORATED,"4003 51 AVENUE  LLOYDMINSTER, AB  T9V 3M9  ",51,view,  780-875-8784
150,DAY CARE (FACILITY-BASED PROGRAM),AMAZING GRACE DAYCARE,"10830 96 STREET NW  EDMONTON, AB  T5H 2J9  ",38,view,  780-328-1700
151,DAY CARE (FACILITY-BASED PROGRAM),AMBLESIDE DAYCARE,"UNIT 114 6060 ANDREWS WAY SW  EDMONTON, AB  T6W 3S9  ",122,view,  780-250-1828
152,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AMBLESIDE DAYCARE,"UNIT 114 6060 ANDREWS WAY SW  EDMONTON, AB  T6W 3S9  ",122,view,  780-250-1828
153,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AMY'S DAYCARE,"4317 167 AVENUE NW  EDMONTON, AB  T5Y 3Y2  ",117,view,  780-666-0137
154,DAY CARE (FACILITY-BASED PROGRAM),AMY'S DAYCARE,"4317 167 AVENUE NW  EDMONTON, AB  T5Y 3Y2  ",117,view,  780-666-0137
155,DAY CARE (FACILITY-BASED PROGRAM),AN ENCHANTED FOREST DAYCARE,"500 RIVERCREST CRESCENT  ST. ALBERT, AB  T8N 3B9  ",120,view,  780-459-0888
156,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AN ENCHANTED FOREST DAYCARE,"500 RIVERCREST CRESCENT  ST. ALBERT, AB  T8N 3B9  ",120,view,  780-459-0888
157,PRE-SCHOOL (FACILITY-BASED PROGRAM),ANDREW PRE-SCHOOL PROGRAM,"4922-50 AVE  ANDREW, AB  T0B 0C0  ",20,view,  780-365-3501
158,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ANGEL KEEPERS DAYCARE,"12839 50 STREET  EDMONTON, AB  T5A 4L8  ",146,view,  780-250-8200
159,DAY CARE (FACILITY-BASED PROGRAM),ANGEL KEEPERS DAYCARE,"12839 50 STREET  EDMONTON, AB  T5A 4L8  ",146,view,  780-250-8200
160,DAY CARE (FACILITY-BASED PROGRAM),ANGEL WINGS DAYCARE INC.,"2 WEST HALL PLACE  COCHRANE, AB  T4C 1M5  ",46,view,  587-719-6972
161,DAY CARE (FACILITY-BASED PROGRAM),ANGELS DAYCARE,"7917 106 AVENUE  EDMONTON, AB  T6A 1H7  ",32,view,  780-485-0008
162,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ANGELS DAYCARE,"7917 106 AVENUE  EDMONTON, AB  T6A 1H7  ",32,view,  780-485-0008
163,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ANN'S AFTER SCHOOL,"10029 99TH AVENUE  FORT SASKATCHEWAN, AB  T8L 1R6  ",30,view,  780-718-4410
164,DAY CARE (FACILITY-BASED PROGRAM),ANN'S DAY CARE LTD.,"SUITE 200, 10211 100 AVE  FORT SASKATCHEWAN, AB  T8L 1Y7  ",36,view,  780-718-4410
165,DAY CARE (FACILITY-BASED PROGRAM),ANNE'S KINDER KASTLE,"7909 82 AVENUE  EDMONTON, AB  T6C 0Y1  ",44,view,  780-488-3336
166,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),APOLLO OUT OF SCHOOL CARE,"6015 184 STREET  EDMONTON, AB  T6M 1T8  ",60,view,  780-489-0810
167,DAY CARE (FACILITY-BASED PROGRAM),APPLE CHILDCARE CENTRE,"UNIT 102 6120 SCHONSEE WAY NW  EDMONTON, AB  T5Z 0K4  ",88,view,  780-456-6993
168,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),APPLE CHILDCARE CENTRE,"UNIT 102 6120 SCHONSEE WAY NW  EDMONTON, AB  T5Z 0K4  ",88,view,  780-456-6993
169,PRE-SCHOOL (FACILITY-BASED PROGRAM),APPLE TREE PRESCHOOL,"352, 2335 - 162 AVENUE SW  CALGARY, AB  T2Y 4S6  ",40,view,  403-252-1161
170,DAY CARE (FACILITY-BASED PROGRAM),APPLETON CHILDCARE CENTRE,"10344 119 STREET  EDMONTON, AB  T5K 1Z6  ",39,view,  780-884-5013
171,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ARCHBISHOP JOSEPH MACNEIL OUT OF SCHOOL CARE,"750 LEGER WAY  ARCHBISHOP JOSEPH MACNEIL SCHOOL  EDMONTON, AB  T6R 3H4  ",65,view,  780-432-4855
172,PRE-SCHOOL (FACILITY-BASED PROGRAM),ARDMORE SCHOOL PRE SCHOOL,"4801-48 STREET  ARDMORE, AB  T0A 0B0  ",28,view,  780-826-5144
173,PRE-SCHOOL (FACILITY-BASED PROGRAM),ARTISTIQUE GYMANSTICS CLUB AND PLAYSCHOOL,"17-7102 52 STREET  LACOMBE, AB  T4L 1Y9  ",48,view,  403-358-8498
174,DAY CARE (FACILITY-BASED PROGRAM),ARTISTIQUE GYMANSTICS CLUB AND PLAYSCHOOL,"17-7102 52 STREET  LACOMBE, AB  T4L 1Y9  ",48,view,  403-358-8498
175,DAY CARE (FACILITY-BASED PROGRAM),ARTS IN MOTION PRESCHOOL,"#200, 6731 52 AVENUE  RED DEER, AB  T4N 4K8  ",80,view,  403-347-9101
176,PRE-SCHOOL (FACILITY-BASED PROGRAM),ARTS IN MOTION PRESCHOOL,"#200, 6731 52 AVENUE  RED DEER, AB  T4N 4K8  ",80,view,  403-347-9101
177,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ARTS IN MOTION PRESCHOOL,"#200, 6731 52 AVENUE  RED DEER, AB  T4N 4K8  ",80,view,  403-347-9101
178,DAY CARE (FACILITY-BASED PROGRAM),ASLAN DAY CARE CENTRE,"101 JERRY POTTS BLVD WEST  LETHBRIDGE, AB  T1K 5H7  ",100,view,  403-381-2626
179,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ASPEN AFTER SCHOOL CARE,"11807/11811- 40 AVE  EDMONTON, AB  T6J 0R8  ",52,view,  780-705-1133
180,DAY CARE (FACILITY-BASED PROGRAM),ASPEN HILL MONTESSORI,"742 - 85 STREET SW  CALGARY, AB  T3H 4C7  ",70,view,  403-246-2794
181,DAY CARE (FACILITY-BASED PROGRAM),ASPEN HILL MONTESSORI INC. - STRATHCONA CAMPUS,"7102 - 14 AVENUE SW  CALGARY, AB  T3H 4G7  ",35,view,  403-246-2794
182,DAY CARE (FACILITY-BASED PROGRAM),ASPEN LAKES DISCOVERY CENTER LTD.,"201-202-5001 ASPEN LAKES BLVD.  BLACKFALDS, AB  T4M 0H1  ",48,view,  587-797-2095
183,DAY CARE (FACILITY-BASED PROGRAM),ASSOCIATION OF CIVIC EMPLOYEES CHILD DEVELOPMENT CENTRE,"821 - 3 STREET SE  CALGARY, AB  T2G 5E6  ",68,view,  403-268-4803
184,PRE-SCHOOL (FACILITY-BASED PROGRAM),ASSOCIATION PRE-MATERNELLE LES BOUTS D'CHOUX,"2850 MILLWOODS ROAD  FRERE ANTOINE SCHOOL  EDMONTON, AB  T6K 4A1  ",18,view,  780-975-7188
185,PRE-SCHOOL (FACILITY-BASED PROGRAM),ASSOCIATION PREMATERNELLE GRANDIR A PETITS PAS,"5505 MAGASIN AVENUE  ECOLE FRANCOPHONE BEAUMONT  BEAUMONT, AB  T4X 1V8  ",17,view,  780-974-3558
186,PRE-SCHOOL (FACILITY-BASED PROGRAM),ASUNI WAHCHI AWASISUK ABORIGINAL HEAD START,"4706-46 STREET  ROCKY MOUNTAIN HOUSE, AB  T4T 1C5  ",20,view,  403-846-6997
187,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ATLAS LEARNING ACADEMY LTD.,"508 - 3 AVENUE SE  AIRDRIE, AB  T4B 2C2  ",64,view,  403-912-1133
188,DAY CARE (FACILITY-BASED PROGRAM),ATLAS LEARNING ACADEMY LTD.,"508 - 3 AVENUE SE  AIRDRIE, AB  T4B 2C2  ",64,view,  403-912-1133
189,PRE-SCHOOL (FACILITY-BASED PROGRAM),AU CHAPEAU PRESCHOOL,"101 8 ST SW  MEDICINE HAT, AB  T1A 4L5  ",16,view,  403-529-7695
190,DAY CARE (FACILITY-BASED PROGRAM),AUNTIE LEE'S INNOVATIVE FUNDED PROGRAM,"7904 10A AVENUE NW  EDMONTON, AB  T6K 3S5  ",14,,  780-450-2005
191,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AUNTIE LEE'S INNOVATIVE FUNDED PROGRAM,"7904 10A AVENUE NW  EDMONTON, AB  T6K 3S5  ",14,,  780-450-2005
192,DAY CARE (FACILITY-BASED PROGRAM),AUNTIE ROSE'S COMMUNITY DAYCARE,"6 D SUPERIOR STREET  DEVON, AB  T9G 1E8  ",40,view,  780-987-7338
193,DAY CARE (FACILITY-BASED PROGRAM),AURORA LEARNING TREE,"3831 WEIDLE CRESCENT SW  EDMONTON, AB  T6X 2E4  ",34,view,  780-235-1470
194,PRE-SCHOOL (FACILITY-BASED PROGRAM),AVONMORE COMMUNITY PLAYSCHOOL,"7902 - 73 AVENUE  RINK BUILDING  EDMONTON, AB  T6C 0C5  ",24,view,  780-465-1941
195,PRE-SCHOOL (FACILITY-BASED PROGRAM),B-SMART LEARNING CENTER INC.,"13639 66 STREET  EDMONTON, AB  T5C 0B8  ",40,view,  780-982-4928
196,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),B-SMART LEARNING CENTER INC.,"211 10807 CASTLEDOWNS ROAD  EDMONTON, AB  T5X 3N7  ",115,view,  780-982-4928
197,DAY CARE (FACILITY-BASED PROGRAM),B-SMART LEARNING CENTER INC.,"211 10807 CASTLEDOWNS ROAD  EDMONTON, AB  T5X 3N7  ",115,view,  780-982-4928
198,DAY CARE (FACILITY-BASED PROGRAM),BABYCARE MONTESSORI CHILDREN'S CENTRE,"4657 MACLEOD TRAIL SOUTH  CALGARY, AB  T2G 5C1  ",39,view,  403-243-2645
199,DAY CARE (FACILITY-BASED PROGRAM),BALWIN DAY CARE CENTRE,"13112 68 STREET  EDMONTON, AB  T5C 0E9  ",60,view,  780-478-3839
200,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BALWIN DAY CARE CENTRE,"13112 68 STREET  EDMONTON, AB  T5C 0E9  ",60,view,  780-478-3839
201,DAY CARE (FACILITY-BASED PROGRAM),BALWIN LEARN N PLAY DAYCARE & OUT OF SCHOOL CARE,"7115 132 AVENUE  EDMONTON, AB  T5C 2A7  ",56,view,  780-200-9242
202,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BALWIN LEARN N PLAY DAYCARE & OUT OF SCHOOL CARE,"7115 132 AVENUE  EDMONTON, AB  T5C 2A7  ",56,view,  780-200-9242
203,DAY CARE (FACILITY-BASED PROGRAM),BAMBI CHILD CARE,"10503 OAKMOOR WAY SW  CALGARY, AB  T2W 2C8  ",61,view,  403-281-5255
204,DAY CARE (FACILITY-BASED PROGRAM),BAMBINI GRANVILLE,"20930 62 AVENUE  EDMONTON, AB  T5T 4L7  ",168,view,  825-401-1813
205,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BAMBINI GRANVILLE,"20930 62 AVENUE  EDMONTON, AB  T5T 4L7  ",168,view,  825-401-1813
206,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BAMBY DAY CARE CENTRE,"RM #22 13910 122 AVENUE  DOVERCOURT ELEMENTARY SCHOOL  EDMONTON, AB  T5L 2W3  ",47,view,  780-451-5540
207,DAY CARE (FACILITY-BASED PROGRAM),BAMBY DAY CARE CENTRE,"RM #22 13910 122 AVENUE  DOVERCOURT ELEMENTARY SCHOOL  EDMONTON, AB  T5L 2W3  ",47,view,  780-451-5540
208,DAY CARE (FACILITY-BASED PROGRAM),BANFF CHILD CARE CENTRE,"349 BIG HORN STREET  BANFF, AB  T1L 1B4  ",82,view,  403-762-3339
209,PRE-SCHOOL (FACILITY-BASED PROGRAM),BANFF RUNDLE PLAYSCHOOL,"302 BUFFALO STREET  BANFF, AB  T1L 1B7  ",24,view,  403-762-4828
210,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BARR COLONY - O.S.C.,"3103 - 52 AVENUE  LLOYDMINSTER, AB  T9V 1M9  ",45,view,  780-875-4054
211,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BASSANO DYNAMITE ACADEMY,"202 8TH STREET  BASSANO, AB  T0J 0B0  ",35,view,  403-501-0077
212,DAY CARE (FACILITY-BASED PROGRAM),BASSANO DYNAMITE ACADEMY,"202 8TH STREET  BASSANO, AB  T0J 0B0  ",35,view,  403-501-0077
213,PRE-SCHOOL (FACILITY-BASED PROGRAM),BATURYN COMMUNITY LEAGUE PLAYSCHOOL,"10505 172 AVENUE  EDMONTON, AB  T5X 3X2  ",17,view,  780-473-1915
214,PRE-SCHOOL (FACILITY-BASED PROGRAM),BAWLF OUT OF SCHOOL CARE,"201 MACRAE STREET  BAWLF, AB  T0B 0J0  ",42,view,  780-373-2115
215,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BAWLF OUT OF SCHOOL CARE,"201 MACRAE STREET  BAWLF, AB  T0B 0J0  ",42,view,  780-373-2115
216,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BCS - CHILD CARE PROGRAMS,"15001 - 69 STREET NW  CALGARY, AB  T3R 1C5  ",46,view,  403-295-2566
217,PRE-SCHOOL (FACILITY-BASED PROGRAM),BCS - CHILD CARE PROGRAMS,"15001 - 69 STREET NW  CALGARY, AB  T3R 1C5  ",46,view,  403-295-2566
218,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BEACON HILL BETHEL CHILDCARE,"210 BEACON HILL DRIVE  FORT MCMURRAY, AB  T9H 2R1  ",44,view,  780-750-7700
219,DAY CARE (FACILITY-BASED PROGRAM),BEACON HILL BETHEL CHILDCARE,"210 BEACON HILL DRIVE  FORT MCMURRAY, AB  T9H 2R1  ",44,view,  780-750-7700
220,PRE-SCHOOL (FACILITY-BASED PROGRAM),BEAMTON MONTESSORI INC.,"105, 500 CENTRE AVENUE NE  AIRDRIE, AB  T4B 1P8  ",30,view,  403-918-0121
221,DAY CARE (FACILITY-BASED PROGRAM),BEAR FAMILY CHILDREN'S CENTER,"509 KING STREET  SPRUCE GROVE, AB  T7X 1K1  ",89,view,  780-946-6252
222,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BEAR FAMILY CHILDREN'S CENTER,"509 KING STREET  SPRUCE GROVE, AB  T7X 1K1  ",89,view,  780-946-6252
223,PRE-SCHOOL (FACILITY-BASED PROGRAM),BEARSPAW PRESCHOOL,"253220 BEARSPAW ROAD NW  SUITE 200  CALGARY, AB  T3L 2P5  ",40,view,  403-239-4441
224,DAY CARE (FACILITY-BASED PROGRAM),BEAUMONT EARLY LEARNING CHILD CARE CENTRE,"4901 55 AVENUE  BEAUMONT, AB  T4X 1M9  ",78,view,  780-929-1263
225,DAY CARE (FACILITY-BASED PROGRAM),BEAUMONT MONTESSORI EARLY LEARNING LTD.,"105-5601 MAGASIN AVENUE  BEAUMONT, AB  T4X 1V8  ",97,view,  587-474-1311
226,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BEAUMONT MONTESSORI EARLY LEARNING LTD.,"105-5601 MAGASIN AVENUE  BEAUMONT, AB  T4X 1V8  ",97,view,  587-474-1311
227,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BEAUMONT SCHOOL AGED SITE,"4306 44 STREET  BEAUMONT, AB  T4X 1K3  ",61,view,  780-929-1263
228,PRE-SCHOOL (FACILITY-BASED PROGRAM),BEAUX ESPRITS PLAYSCHOOL,"17655 64 AVENUE  OUR LADY OF PRAIRIES SCHOOL  EDMONTON, AB  T5T 4A6  ",18,view,  780-484-4926
229,DAY CARE (FACILITY-BASED PROGRAM),BEAVERLODGE DAY CARE,"1220-5TH AVENUE  BEAVERLODGE, AB  T0H 0C0  ",80,view,  780-354-2855
230,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BEAVERLODGE DAY CARE,"1220-5TH AVENUE  BEAVERLODGE, AB  T0H 0C0  ",80,view,  780-354-2855
231,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BEBE'S DAYCARE,"12124 161 AVENUE  EDMONTON, AB  T5X 5M8  ",117,view,  780-456-5002
232,DAY CARE (FACILITY-BASED PROGRAM),BEBE'S DAYCARE,"12124 161 AVENUE  EDMONTON, AB  T5X 5M8  ",117,view,  780-456-5002
233,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BEDDINGTON HEIGHTS BEFORE AND AFTER SCHOOL PROGRAM,"375 BERMUDA DRIVE NW  CALGARY, AB  T3K 2J5  ",126,view,  403-295-8837
234,PRE-SCHOOL (FACILITY-BASED PROGRAM),BEDROCK PLAYSCHOOL SOCIETY,"195 3 AVE EAST  DRUMHELLER, AB  T0J 0Y0  ",20,view,  403-823-6391
235,PRE-SCHOOL (FACILITY-BASED PROGRAM),BEE CREATIVE PLAYSCHOOL,"4912 50 AVE  BEAUMONT, AB  T4X 1J9  ",22,view,  780-909-8764
236,DAY CARE (FACILITY-BASED PROGRAM),BEE HIVE CHILD CARE CENTER,"334 HIGHWAY AVE  PICTURE BUTTE, AB  T0K 1V0  ",54,view,  403-732-4051
237,PRE-SCHOOL (FACILITY-BASED PROGRAM),BEISEKER PLAYSCHOOL ASSOCIATION,"401 - 5 STREET  BEISEKER, AB  T0M 0G0  ",18,view,  403-947-2463
238,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BELFAST STUDENT CARE,"1229 - 17A STREET NE  CALGARY, AB  T2E 4V4  ",60,view,  403-277-3361
239,PRE-SCHOOL (FACILITY-BASED PROGRAM),BELGRAVIA CO-OPERATIVE PLAYSCHOOL,"11540 73 AVENUE  EDMONTON, AB  T6G 0G1  ",16,view,  780-292-5195
240,DAY CARE (FACILITY-BASED PROGRAM),BELLA CASA MONTESSORI SCHOOL,"104, 5430 - 17 AVENUE SE  CALGARY, AB  T2A 1J3  ",20,view,  403-313-7235
241,PRE-SCHOOL (FACILITY-BASED PROGRAM),BENALTO PLAYSCHOOL,"5025 49 STREET  BENALTO, AB  T0M 0H0  ",18,view,  403-348-1883
242,PRE-SCHOOL (FACILITY-BASED PROGRAM),BERGEN COMMUNITY PLAYSCHOOL,"SE 5-32-5-5  BERGEN, AB  T0M 1X0  ",16,view,  403-638-6686
243,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BEST CHOICE IN-SCHOOL CARE,"4331 - 41 AVENUE SW  CALGARY, AB  T3E 1G2  ",45,view,  403-804-7964
244,DAY CARE (FACILITY-BASED PROGRAM),BETHEL DAYCARE CHRISTIAN SCHOOL,"107 BRETT DRIVE  FORT MCMURRAY, AB  T9K 1V1  ",22,view,  780-880-6510
245,DAY CARE (FACILITY-BASED PROGRAM),BETHEL DAYCARE ELSIE YANIK,"331 CALLEN DRIVE  FORT MCMURRAY, AB  T9K 0Z8  ",55,view,  780-880-6510
246,DAY CARE (FACILITY-BASED PROGRAM),BETHEL DAYCARE ST. KATERI,"1-301 SPARROW HAWK DRIVE  FORT MCMURRAY, AB  T9K 0P1  ",26,view,  780-880-6510
247,PRE-SCHOOL (FACILITY-BASED PROGRAM),BETHEL LUTHERAN EDUCATIONAL SERVICES PRESCHOOL,"298 BETHEL DRIVE  SHERWOOD PARK, AB  T8H 2C5  ",20,view,  780-417-7775
248,PRE-SCHOOL (FACILITY-BASED PROGRAM),BETHLEHEM LUTHERAN CHURCH NURSERY SCHOOL,"4638 117 AVENUE  EDMONTON, AB  T5W 0Y8  ",26,view,  780-477-2894
249,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BETWEEN FRIENDS DAY CARE,"10638 215 STREET  EDMONTON, AB  T5S 1T7  ",45,view,  780-447-4699
250,DAY CARE (FACILITY-BASED PROGRAM),BETWEEN FRIENDS DAY CARE,"10638 215 STREET  EDMONTON, AB  T5S 1T7  ",45,view,  780-447-4699
251,DAY CARE (FACILITY-BASED PROGRAM),BEVERLY DAY CARE SOCIETY & FAMILY RESOURCE CENTRE,"11005 34 STREET  RUNDLE SCHOOL  EDMONTON, AB  T5W 1Y7  ",81,view,  780-477-1151
252,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BEVERLY DAY CARE SOCIETY & FAMILY RESOURCE CENTRE,"11005 34 STREET  RUNDLE SCHOOL  EDMONTON, AB  T5W 1Y7  ",81,view,  780-477-1151
253,PRE-SCHOOL (FACILITY-BASED PROGRAM),BEZANSON PLAYSCHOOL,"BEZANSON SCHOOL  9804 100 ST  BEZANSON, AB  T0H 0G0  ",16,view,  780-532-6490
254,DAY CARE (FACILITY-BASED PROGRAM),BGC DAYCARE,"1006 - 11 AVENUE SE  HIGH RIVER, AB  T1V 1P2  ",96,view,  403-652-2702
255,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BGC OF STRATHCONA COUNTY - ARDROSSAN,"53117 RANGE ROAD 222  HOLY REDEEMER SCHOOL  ARDROSSAN, AB  T8E 2M8  ",80,view,  780-416-1500
256,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BGC OF STRATHCONA COUNTY - ARDROSSAN ELEMENTARY,"53131 RANGE RD 222  ARDROSSAN, AB  T8E 2M8  ",80,view,  780-416-1500
257,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BGC OF STRATHCONA COUNTY - CANTEEN,"123, 2016 SHERWOOD DRIVE  SHERWOOD PARK, AB  T8A 3X3  ",100,view,  780-416-1500
258,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BGC OF STRATHCONA COUNTY - DAVIDSON CREEK,"360 DAVENPORT DRIVE  DAVIDSON CREEK SCHOOL  SHERWOOD PARK, AB  T8H 1Y1  ",80,view,  780-416-1500
259,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BGC OF STRATHCONA COUNTY - HERITAGE HILLS SCHOOL,"280 HERITAGE DRIVE  SHERWOOD PARK, AB  T8A 5R3  ",60,view,  780-416-1500
260,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BGC OF STRATHCONA COUNTY - MADONNA SCHOOL,"15 MAIN BLVD  MADONNA CATHOLIC SCHOOL  SHERWOOD PARK, AB  T8A 3N3  ",40,view,  780-416-1500
261,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BGC OF STRATHCONA COUNTY - WOODBRIDGE SCHOOL,"1127 PARKER DRIVE  WOODBRIDGE SCHOOL  SHERWOOD PARK, AB  T8A 2B6  ",80,view,  780-416-1500
262,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BGC OF STRATHCONA COUNTY OUT OF SCHOOL CARE,"3 SPRUCE AVENUE  SHERWOOD PARK, AB  T8A 2B6  ",60,view,  780-416-1500
263,DAY CARE (FACILITY-BASED PROGRAM),BGC OF STRATHCONA COUNTY OUT OF SCHOOL CARE,"3 SPRUCE AVENUE  SHERWOOD PARK, AB  T8A 2B6  ",60,view,  780-416-1500
264,PRE-SCHOOL (FACILITY-BASED PROGRAM),BGC OLDS & AREA,"5021 51ST STREET  OLDS, AB  T4H 1P8  ",30,view,  403-556-2466
265,DAY CARE (FACILITY-BASED PROGRAM),BGC OLDS & AREA,"5021 51ST STREET  OLDS, AB  T4H 1P8  ",30,view,  403-556-2466
266,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BGC OLDS & AREA,"5021 51ST STREET  OLDS, AB  T4H 1P8  ",30,view,  403-556-2466
267,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BIBS TO BOOKBAGS CHILD CARE CENTRE,"4627 49 STREET  ALIX, AB  T0C 0B0  ",36,view,  403-754-5248
268,DAY CARE (FACILITY-BASED PROGRAM),BIBS TO BOOKBAGS CHILD CARE CENTRE,"4627 49 STREET  ALIX, AB  T0C 0B0  ",36,view,  403-754-5248
269,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BIG STEPS ACADEMY,"230 CANADA OLYMPIC ROAD SW  CALGARY, AB  T3H 0S6  ",80,view,  403-288-0125
270,DAY CARE (FACILITY-BASED PROGRAM),BIRDS AND BLOSSOMS DAYCARE CENTRE,"126, 80 SAGE HILL ROAD NW  CALGARY, AB  T3R 1W8  ",60,view,  403-700-5657
271,DAY CARE (FACILITY-BASED PROGRAM),BISSELL CENTRE EARLY CHILDHOOD PROGRAM,"9331 105 AVE NW  EDMONTON, AB  T5H 0J7  ",66,view,  780-423-2285
272,DAY CARE (FACILITY-BASED PROGRAM),BLACKMUD CREEK CHILD CARE,"1911/1925 105 STREET  EDMONTON, AB  T6J 5V9  ",87,view,  587-458-2241
273,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BLACKMUD CREEK CHILD CARE,"1911/1925 105 STREET  EDMONTON, AB  T6J 5V9  ",87,view,  587-458-2241
274,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),BLATCHFORD DAYCARE INC.,"38 AIRPORT ROAD NW  EDMONTON, AB  T5G 0W7  ",40,view,  639-470-1327
275,DAY CARE (FACILITY-BASED PROGRAM),BLATCHFORD DAYCARE INC.,"38 AIRPORT ROAD NW  EDMONTON, AB  T5G 0W7  ",40,view,  639-470-1327
276,PRE-SCHOOL (FACILITY-BASED PROGRAM),BLOSSOM HEIGHTS CHILDCARE CENTRE,"5110, 47 LEGACY VIEW SE  CALGARY, AB  T2X 4A7  ",60,view,  403-873-8577
